,Timepoint,Condition,PBMC_sample,Cell_Type,MFI,Positive_Percentage
0,24,Doxorubicin_Cal27,CD3neg_PBMC,CD40_B,2048.6666666666665,93.83333333333333
1,24,Doxorubicin_Cal27,CD3neg_PBMC,CD40_DC,896.3333333333334,49.56666666666666
2,24,Doxorubicin_Cal27,CD3neg_PBMC,CD40_MO,841.3333333333334,43.86666666666667
3,24,Doxorubicin_Cal27,CD3neg_PBMC,CD80_B,51.03333333333333,1.5366666666666668
4,24,Doxorubicin_Cal27,CD3neg_PBMC,CD80_DC,90.43333333333334,1.7966666666666666
5,24,Doxorubicin_Cal27,CD3neg_PBMC,CD80_MO,99.93333333333334,2.8800000000000003
6,24,Doxorubicin_Cal27,CD3neg_PBMC,CD86_B,3012.0,99.06666666666666
7,24,Doxorubicin_Cal27,CD3neg_PBMC,CD86_DC,9111.666666666666,99.53333333333335
8,24,Doxorubicin_Cal27,CD3neg_PBMC,CD86_MO,5937.0,99.39999999999999
9,24,Doxorubicin_Cal27,CD3neg_PBMC,DR_B,49777.0,100.0
10,24,Doxorubicin_Cal27,CD3neg_PBMC,DR_DC,24079.0,99.86666666666667
11,24,Doxorubicin_Cal27,CD3neg_PBMC,DR_MO,21004.333333333332,99.93333333333334
12,24,Doxorubicin_Cal27,TW,CD40_B,1716.6666666666667,90.46666666666665
13,24,Doxorubicin_Cal27,TW,CD40_DC,904.3333333333334,48.43333333333334
14,24,Doxorubicin_Cal27,TW,CD40_MO,799.0,42.73333333333333
15,24,Doxorubicin_Cal27,TW,CD80_B,46.1,1.0633333333333332
16,24,Doxorubicin_Cal27,TW,CD80_DC,108.33333333333333,3.483333333333333
17,24,Doxorubicin_Cal27,TW,CD80_MO,96.96666666666665,2.0933333333333333
18,24,Doxorubicin_Cal27,TW,CD86_B,2616.6666666666665,97.90000000000002
19,24,Doxorubicin_Cal27,TW,CD86_DC,11503.333333333334,99.76666666666667
20,24,Doxorubicin_Cal27,TW,CD86_MO,5637.333333333333,99.63333333333333
21,24,Doxorubicin_Cal27,TW,DR_B,47986.333333333336,100.0
22,24,Doxorubicin_Cal27,TW,DR_DC,29342.333333333332,99.96666666666665
23,24,Doxorubicin_Cal27,TW,DR_MO,24897.333333333332,100.0
24,24,Doxorubicin_Cal27,Whole_PBMC,CD40_B,2273.3333333333335,95.83333333333333
25,24,Doxorubicin_Cal27,Whole_PBMC,CD40_DC,1071.0,60.199999999999996
26,24,Doxorubicin_Cal27,Whole_PBMC,CD40_MO,1269.0,66.03333333333333
27,24,Doxorubicin_Cal27,Whole_PBMC,CD80_B,57.0,1.9333333333333333
28,24,Doxorubicin_Cal27,Whole_PBMC,CD80_DC,118.33333333333333,5.609999999999999
29,24,Doxorubicin_Cal27,Whole_PBMC,CD80_MO,140.33333333333334,8.836666666666666
30,24,Doxorubicin_Cal27,Whole_PBMC,CD86_B,2950.0,99.33333333333333
31,24,Doxorubicin_Cal27,Whole_PBMC,CD86_DC,13675.0,99.93333333333334
32,24,Doxorubicin_Cal27,Whole_PBMC,CD86_MO,8056.666666666667,99.89999999999999
33,24,Doxorubicin_Cal27,Whole_PBMC,DR_B,51834.666666666664,100.0
34,24,Doxorubicin_Cal27,Whole_PBMC,DR_DC,30063.666666666668,99.93333333333334
35,24,Doxorubicin_Cal27,Whole_PBMC,DR_MO,28397.0,99.96666666666665
36,24,PBMC_Only,CD3neg_PBMC,CD40_B,2053.6666666666665,93.2
37,24,PBMC_Only,CD3neg_PBMC,CD40_DC,533.3333333333334,25.866666666666664
38,24,PBMC_Only,CD3neg_PBMC,CD40_MO,444.3333333333333,20.833333333333332
39,24,PBMC_Only,CD3neg_PBMC,CD80_B,51.1,0.8933333333333334
40,24,PBMC_Only,CD3neg_PBMC,CD80_DC,92.13333333333333,2.2266666666666666
41,24,PBMC_Only,CD3neg_PBMC,CD80_MO,86.89999999999999,1.8033333333333335
42,24,PBMC_Only,CD3neg_PBMC,CD86_B,2515.0,97.56666666666666
43,24,PBMC_Only,CD3neg_PBMC,CD86_DC,5836.666666666667,96.93333333333334
44,24,PBMC_Only,CD3neg_PBMC,CD86_MO,3946.6666666666665,97.26666666666667
45,24,PBMC_Only,CD3neg_PBMC,DR_B,51845.666666666664,100.0
46,24,PBMC_Only,CD3neg_PBMC,DR_DC,20844.666666666668,99.89999999999999
47,24,PBMC_Only,CD3neg_PBMC,DR_MO,17551.333333333332,99.93333333333334
48,24,PBMC_Only,TW,CD40_B,1741.3333333333333,90.63333333333333
49,24,PBMC_Only,TW,CD40_DC,643.0,32.699999999999996
50,24,PBMC_Only,TW,CD40_MO,527.6666666666666,25.53333333333333
51,24,PBMC_Only,TW,CD80_B,50.03333333333333,0.9533333333333333
52,24,PBMC_Only,TW,CD80_DC,94.26666666666667,1.6900000000000002
53,24,PBMC_Only,TW,CD80_MO,100.86666666666667,1.3233333333333335
54,24,PBMC_Only,TW,CD86_B,2380.3333333333335,96.16666666666667
55,24,PBMC_Only,TW,CD86_DC,8030.666666666667,98.23333333333333
56,24,PBMC_Only,TW,CD86_MO,3852.0,95.8
57,24,PBMC_Only,TW,DR_B,49408.0,100.0
58,24,PBMC_Only,TW,DR_DC,23840.0,100.0
59,24,PBMC_Only,TW,DR_MO,18572.666666666668,99.83333333333333
60,24,PBMC_Only,Whole_PBMC,CD40_B,2296.3333333333335,95.2
61,24,PBMC_Only,Whole_PBMC,CD40_DC,816.6666666666666,44.5
62,24,PBMC_Only,Whole_PBMC,CD40_MO,744.0,39.5
63,24,PBMC_Only,Whole_PBMC,CD80_B,52.166666666666664,1.0766666666666669
64,24,PBMC_Only,Whole_PBMC,CD80_DC,117.33333333333333,6.22
65,24,PBMC_Only,Whole_PBMC,CD80_MO,99.16666666666667,2.9166666666666665
66,24,PBMC_Only,Whole_PBMC,CD86_B,2481.0,96.93333333333332
67,24,PBMC_Only,Whole_PBMC,CD86_DC,9447.0,98.39999999999999
68,24,PBMC_Only,Whole_PBMC,CD86_MO,4764.0,97.63333333333333
69,24,PBMC_Only,Whole_PBMC,DR_B,52655.0,100.0
70,24,PBMC_Only,Whole_PBMC,DR_DC,28144.666666666668,99.96666666666665
71,24,PBMC_Only,Whole_PBMC,DR_MO,23647.666666666668,99.90000000000002
72,24,TGE12_Cal27,CD3neg_PBMC,CD40_B,2077.6666666666665,93.23333333333333
73,24,TGE12_Cal27,CD3neg_PBMC,CD40_DC,914.0,48.300000000000004
74,24,TGE12_Cal27,CD3neg_PBMC,CD40_MO,1325.3333333333333,63.6
75,24,TGE12_Cal27,CD3neg_PBMC,CD80_B,61.76666666666667,3.4599999999999995
76,24,TGE12_Cal27,CD3neg_PBMC,CD80_DC,153.0,16.366666666666667
77,24,TGE12_Cal27,CD3neg_PBMC,CD80_MO,292.0,48.23333333333333
78,24,TGE12_Cal27,CD3neg_PBMC,CD86_B,2778.6666666666665,98.03333333333335
79,24,TGE12_Cal27,CD3neg_PBMC,CD86_DC,5820.0,97.43333333333334
80,24,TGE12_Cal27,CD3neg_PBMC,CD86_MO,6511.333333333333,99.39999999999999
81,24,TGE12_Cal27,CD3neg_PBMC,DR_B,48868.333333333336,100.0
82,24,TGE12_Cal27,CD3neg_PBMC,DR_DC,26172.666666666668,99.86666666666667
83,24,TGE12_Cal27,CD3neg_PBMC,DR_MO,28294.666666666668,99.89999999999999
84,24,TGE12_Cal27,TW,CD40_B,1800.6666666666667,91.86666666666667
85,24,TGE12_Cal27,TW,CD40_DC,1392.0,66.66666666666667
86,24,TGE12_Cal27,TW,CD40_MO,1120.3333333333333,58.699999999999996
87,24,TGE12_Cal27,TW,CD80_B,53.36666666666667,2.0466666666666664
88,24,TGE12_Cal27,TW,CD80_DC,276.3333333333333,40.699999999999996
89,24,TGE12_Cal27,TW,CD80_MO,241.66666666666666,36.1
90,24,TGE12_Cal27,TW,CD86_B,2521.6666666666665,97.36666666666667
91,24,TGE12_Cal27,TW,CD86_DC,11427.666666666666,97.60000000000001
92,24,TGE12_Cal27,TW,CD86_MO,7312.666666666667,99.63333333333333
93,24,TGE12_Cal27,TW,DR_B,48232.333333333336,100.0
94,24,TGE12_Cal27,TW,DR_DC,36132.333333333336,99.96666666666665
95,24,TGE12_Cal27,TW,DR_MO,29753.0,99.90000000000002
96,24,TGE12_Cal27,Whole_PBMC,CD40_B,2288.3333333333335,94.3
97,24,TGE12_Cal27,Whole_PBMC,CD40_DC,1663.3333333333333,70.23333333333333
98,24,TGE12_Cal27,Whole_PBMC,CD40_MO,2880.6666666666665,87.5
99,24,TGE12_Cal27,Whole_PBMC,CD80_B,57.53333333333333,2.67
100,24,TGE12_Cal27,Whole_PBMC,CD80_DC,217.66666666666666,28.066666666666666
101,24,TGE12_Cal27,Whole_PBMC,CD80_MO,342.0,58.03333333333333
102,24,TGE12_Cal27,Whole_PBMC,CD86_B,2646.0,97.63333333333333
103,24,TGE12_Cal27,Whole_PBMC,CD86_DC,12006.666666666666,98.60000000000001
104,24,TGE12_Cal27,Whole_PBMC,CD86_MO,10012.666666666666,99.83333333333333
105,24,TGE12_Cal27,Whole_PBMC,DR_B,49837.0,100.0
106,24,TGE12_Cal27,Whole_PBMC,DR_DC,36049.666666666664,99.93333333333334
107,24,TGE12_Cal27,Whole_PBMC,DR_MO,35277.0,99.96666666666665
108,24,Untx_Cal27,CD3neg_PBMC,CD40_B,2011.3333333333333,92.56666666666666
109,24,Untx_Cal27,CD3neg_PBMC,CD40_DC,694.0,38.5
110,24,Untx_Cal27,CD3neg_PBMC,CD40_MO,601.3333333333334,31.333333333333332
111,24,Untx_Cal27,CD3neg_PBMC,CD80_B,47.666666666666664,1.08
112,24,Untx_Cal27,CD3neg_PBMC,CD80_DC,74.83333333333333,0.9900000000000001
113,24,Untx_Cal27,CD3neg_PBMC,CD80_MO,78.10000000000001,1.21
114,24,Untx_Cal27,CD3neg_PBMC,CD86_B,2657.3333333333335,97.5
115,24,Untx_Cal27,CD3neg_PBMC,CD86_DC,7457.0,98.93333333333334
116,24,Untx_Cal27,CD3neg_PBMC,CD86_MO,4110.666666666667,96.23333333333333
117,24,Untx_Cal27,CD3neg_PBMC,DR_B,52376.0,100.0
118,24,Untx_Cal27,CD3neg_PBMC,DR_DC,21042.666666666668,99.86666666666667
119,24,Untx_Cal27,CD3neg_PBMC,DR_MO,12712.0,99.56666666666666
120,24,Untx_Cal27,TW,CD40_B,1729.6666666666667,90.39999999999999
121,24,Untx_Cal27,TW,CD40_DC,824.6666666666666,44.96666666666667
122,24,Untx_Cal27,TW,CD40_MO,908.6666666666666,49.53333333333333
123,24,Untx_Cal27,TW,CD80_B,47.23333333333333,0.9433333333333334
124,24,Untx_Cal27,TW,CD80_DC,115.0,4.91
125,24,Untx_Cal27,TW,CD80_MO,104.3,2.8866666666666667
126,24,Untx_Cal27,TW,CD86_B,2424.0,96.33333333333333
127,24,Untx_Cal27,TW,CD86_DC,11278.0,99.0
128,24,Untx_Cal27,TW,CD86_MO,6118.333333333333,99.3
129,24,Untx_Cal27,TW,DR_B,49642.666666666664,100.0
130,24,Untx_Cal27,TW,DR_DC,29961.666666666668,100.0
131,24,Untx_Cal27,TW,DR_MO,26422.333333333332,99.93333333333334
132,24,Untx_Cal27,Whole_PBMC,CD40_B,2233.0,96.03333333333335
133,24,Untx_Cal27,Whole_PBMC,CD40_DC,802.3333333333334,45.1
134,24,Untx_Cal27,Whole_PBMC,CD40_MO,966.0,52.76666666666667
135,24,Untx_Cal27,Whole_PBMC,CD80_B,44.76666666666667,1.0999999999999999
136,24,Untx_Cal27,Whole_PBMC,CD80_DC,87.8,2.3966666666666665
137,24,Untx_Cal27,Whole_PBMC,CD80_MO,105.0,3.44
138,24,Untx_Cal27,Whole_PBMC,CD86_B,2392.6666666666665,96.63333333333333
139,24,Untx_Cal27,Whole_PBMC,CD86_DC,7555.0,98.13333333333333
140,24,Untx_Cal27,Whole_PBMC,CD86_MO,5309.0,97.93333333333334
141,24,Untx_Cal27,Whole_PBMC,DR_B,52676.333333333336,100.0
142,24,Untx_Cal27,Whole_PBMC,DR_DC,26460.333333333332,99.86666666666667
143,24,Untx_Cal27,Whole_PBMC,DR_MO,18797.666666666668,99.76666666666667
144,24,mCherry_Cal27,CD3neg_PBMC,CD40_B,2071.0,93.93333333333334
145,24,mCherry_Cal27,CD3neg_PBMC,CD40_DC,920.3333333333334,49.9
146,24,mCherry_Cal27,CD3neg_PBMC,CD40_MO,768.6666666666666,39.4
147,24,mCherry_Cal27,CD3neg_PBMC,CD80_B,50.333333333333336,1.43
148,24,mCherry_Cal27,CD3neg_PBMC,CD80_DC,124.33333333333333,10.256666666666666
149,24,mCherry_Cal27,CD3neg_PBMC,CD80_MO,117.66666666666667,8.433333333333334
150,24,mCherry_Cal27,CD3neg_PBMC,CD86_B,2566.0,97.53333333333335
151,24,mCherry_Cal27,CD3neg_PBMC,CD86_DC,6214.0,97.66666666666667
152,24,mCherry_Cal27,CD3neg_PBMC,CD86_MO,4419.0,96.63333333333333
153,24,mCherry_Cal27,CD3neg_PBMC,DR_B,51858.0,99.96666666666665
154,24,mCherry_Cal27,CD3neg_PBMC,DR_DC,22643.333333333332,99.59999999999998
155,24,mCherry_Cal27,CD3neg_PBMC,DR_MO,14189.333333333334,99.56666666666666
156,24,mCherry_Cal27,TW,CD40_B,1747.6666666666667,90.86666666666667
157,24,mCherry_Cal27,TW,CD40_DC,914.0,50.13333333333333
158,24,mCherry_Cal27,TW,CD40_MO,998.0,54.36666666666667
159,24,mCherry_Cal27,TW,CD80_B,46.36666666666667,1.0066666666666666
160,24,mCherry_Cal27,TW,CD80_DC,128.33333333333334,7.949999999999999
161,24,mCherry_Cal27,TW,CD80_MO,112.0,4.496666666666667
162,24,mCherry_Cal27,TW,CD86_B,2493.6666666666665,96.8
163,24,mCherry_Cal27,TW,CD86_DC,12074.0,99.03333333333335
164,24,mCherry_Cal27,TW,CD86_MO,6282.666666666667,99.39999999999999
165,24,mCherry_Cal27,TW,DR_B,50603.333333333336,100.0
166,24,mCherry_Cal27,TW,DR_DC,31758.666666666668,99.96666666666665
167,24,mCherry_Cal27,TW,DR_MO,26951.666666666668,99.96666666666665
168,24,mCherry_Cal27,Whole_PBMC,CD40_B,2242.6666666666665,96.10000000000001
169,24,mCherry_Cal27,Whole_PBMC,CD40_DC,1203.3333333333333,62.0
170,24,mCherry_Cal27,Whole_PBMC,CD40_MO,1280.6666666666667,64.2
171,24,mCherry_Cal27,Whole_PBMC,CD80_B,53.6,1.7733333333333334
172,24,mCherry_Cal27,Whole_PBMC,CD80_DC,165.0,18.400000000000002
173,24,mCherry_Cal27,Whole_PBMC,CD80_MO,160.0,15.133333333333333
174,24,mCherry_Cal27,Whole_PBMC,CD86_B,2417.6666666666665,96.43333333333334
175,24,mCherry_Cal27,Whole_PBMC,CD86_DC,8769.0,97.39999999999999
176,24,mCherry_Cal27,Whole_PBMC,CD86_MO,6452.666666666667,98.8
177,24,mCherry_Cal27,Whole_PBMC,DR_B,52525.333333333336,100.0
178,24,mCherry_Cal27,Whole_PBMC,DR_DC,30508.0,99.26666666666667
179,24,mCherry_Cal27,Whole_PBMC,DR_MO,22651.666666666668,99.86666666666667
180,24,siCHMP2A_Cal27,CD3neg_PBMC,CD40_B,1896.0,91.86666666666667
181,24,siCHMP2A_Cal27,CD3neg_PBMC,CD40_DC,627.3333333333334,33.36666666666667
182,24,siCHMP2A_Cal27,CD3neg_PBMC,CD40_MO,703.3333333333334,37.9
183,24,siCHMP2A_Cal27,CD3neg_PBMC,CD80_B,51.6,1.4666666666666668
184,24,siCHMP2A_Cal27,CD3neg_PBMC,CD80_DC,93.26666666666667,3.8799999999999994
185,24,siCHMP2A_Cal27,CD3neg_PBMC,CD80_MO,99.33333333333333,3.6033333333333335
186,24,siCHMP2A_Cal27,CD3neg_PBMC,CD86_B,2591.3333333333335,97.53333333333335
187,24,siCHMP2A_Cal27,CD3neg_PBMC,CD86_DC,6307.666666666667,97.96666666666665
188,24,siCHMP2A_Cal27,CD3neg_PBMC,CD86_MO,5391.0,98.83333333333333
189,24,siCHMP2A_Cal27,CD3neg_PBMC,DR_B,50893.333333333336,100.0
190,24,siCHMP2A_Cal27,CD3neg_PBMC,DR_DC,22292.0,99.83333333333333
191,24,siCHMP2A_Cal27,CD3neg_PBMC,DR_MO,18133.666666666668,99.8
192,24,siCHMP2A_Cal27,TW,CD40_B,1590.0,87.93333333333334
193,24,siCHMP2A_Cal27,TW,CD40_DC,912.3333333333334,49.166666666666664
194,24,siCHMP2A_Cal27,TW,CD40_MO,1006.6666666666666,54.93333333333334
195,24,siCHMP2A_Cal27,TW,CD80_B,45.4,1.0133333333333334
196,24,siCHMP2A_Cal27,TW,CD80_DC,138.66666666666666,9.936666666666667
197,24,siCHMP2A_Cal27,TW,CD80_MO,105.66666666666667,4.13
198,24,siCHMP2A_Cal27,TW,CD86_B,2404.0,96.2
199,24,siCHMP2A_Cal27,TW,CD86_DC,12861.0,99.13333333333333
200,24,siCHMP2A_Cal27,TW,CD86_MO,6801.333333333333,99.8
201,24,siCHMP2A_Cal27,TW,DR_B,48192.666666666664,100.0
202,24,siCHMP2A_Cal27,TW,DR_DC,31862.0,100.0
203,24,siCHMP2A_Cal27,TW,DR_MO,28024.0,99.93333333333334
204,24,siCHMP2A_Cal27,Whole_PBMC,CD40_B,2056.6666666666665,94.83333333333333
205,24,siCHMP2A_Cal27,Whole_PBMC,CD40_DC,892.3333333333334,48.63333333333333
206,24,siCHMP2A_Cal27,Whole_PBMC,CD40_MO,1203.0,63.166666666666664
207,24,siCHMP2A_Cal27,Whole_PBMC,CD80_B,49.43333333333334,1.7466666666666668
208,24,siCHMP2A_Cal27,Whole_PBMC,CD80_DC,119.0,8.133333333333333
209,24,siCHMP2A_Cal27,Whole_PBMC,CD80_MO,137.33333333333334,9.796666666666667
210,24,siCHMP2A_Cal27,Whole_PBMC,CD86_B,2446.6666666666665,96.93333333333334
211,24,siCHMP2A_Cal27,Whole_PBMC,CD86_DC,9226.0,98.2
212,24,siCHMP2A_Cal27,Whole_PBMC,CD86_MO,7458.666666666667,99.5
213,24,siCHMP2A_Cal27,Whole_PBMC,DR_B,51375.333333333336,100.0
214,24,siCHMP2A_Cal27,Whole_PBMC,DR_DC,30257.0,99.90000000000002
215,24,siCHMP2A_Cal27,Whole_PBMC,DR_MO,24769.0,99.83333333333333
